airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,8016
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,7933
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,12:25:00,325,1.0,In-flight meal not included,9134
Multiple Carriers,2019-06-15,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No info,10678
Indigo,2019-05-27,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No info,7164
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,No info,14178
Indigo,2019-03-24,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No info,4326
Spicejet,2019-05-18,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,In-flight meal not included,7832
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No info,15058
Spicejet,2019-06-09,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3625
Air India,2019-05-18,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No info,10651
Indigo,2019-05-18,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No info,7464
Air India,2019-06-03,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,13381
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No info,8505
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,11:25:00,1425,1.0,No info,17261
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No info,14231
Multiple Carriers,2019-03-09,Delhi,Cochin,04:45:00,19:45:00,900,1.0,No info,10782
Jet Airways,2019-05-03,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,7229
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Indigo,2019-05-03,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Multiple Carriers,2019-05-09,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No info,9627
Jet Airways,2019-06-03,Delhi,Cochin,18:25:00,12:35:00,1090,2.0,No info,14237
Air Asia,2019-05-24,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,5162
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,14848
Indigo,2019-05-03,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,18:45:00,1545,1.0,No info,13100
Air India,2019-06-06,Kolkata,Banglore,05:50:00,08:55:00,1625,2.0,No info,12723
Multiple Carriers,2019-06-15,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,8614
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,10703
Jet Airways,2019-03-03,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,No info,19828
Air Asia,2019-04-01,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,4282
Indigo,2019-05-06,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No info,3943
Spicejet,2019-06-15,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No info,13626
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,16079
Multiple Carriers,2019-05-18,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,7564
Vistara,2019-04-09,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No info,5613
Multiple Carriers,2019-03-06,Delhi,Cochin,07:30:00,18:50:00,680,1.0,No info,15411
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Multiple Carriers,2019-03-09,Delhi,Cochin,17:00:00,01:35:00,515,1.0,No info,14343
Air Asia,2019-05-18,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,5645
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,19:10:00,305,1.0,No info,36235
Indigo,2019-06-12,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,13377
Indigo,2019-06-06,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,5054
Air India,2019-05-06,Kolkata,Banglore,17:30:00,08:55:00,925,1.0,No info,10203
Air India,2019-05-09,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,8372
Multiple Carriers,2019-06-01,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,13377
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No info,13292
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No info,13941
Jet Airways,2019-03-15,Banglore,New Delhi,11:40:00,08:15:00,1235,1.0,In-flight meal not included,9134
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No info,8781
Multiple Carriers,2019-05-09,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No info,7575
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Indigo,2019-06-27,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No info,5775
Jet Airways,2019-06-24,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,5769
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,8073
Air India,2019-03-06,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,4960
Vistara,2019-03-09,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No info,11598
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No info,12121
Vistara,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Indigo,2019-04-15,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No info,6171
Air India,2019-06-15,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No info,8907
Indigo,2019-05-06,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4804
Air India,2019-03-18,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,5170
Air Asia,2019-04-01,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,4107
Air India,2019-06-01,Delhi,Cochin,21:00:00,19:15:00,1335,1.0,No info,8582
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No check-in baggage included,3841
Indigo,2019-06-01,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No info,6442
Indigo,2019-06-24,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Jet Airways,2019-05-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4995
Indigo,2019-03-06,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No info,14871
Jet Airways,2019-06-27,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No info,8040
Spicejet,2019-04-12,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Air India,2019-03-09,Delhi,Cochin,23:00:00,07:40:00,520,1.0,No info,10840
Spicejet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3859
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No info,10976
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,18:45:00,695,1.0,No info,16932
Indigo,2019-06-27,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Indigo,2019-05-09,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No info,7740
Jet Airways,2019-06-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,In-flight meal not included,11150
Air India,2019-06-06,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No info,7452
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,4483
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,6540
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Air Asia,2019-04-24,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,3383
Air India,2019-06-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,8839
Air India,2019-06-12,Kolkata,Banglore,05:50:00,08:55:00,1625,2.0,No info,12723
Jet Airways,2019-03-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4160
Jet Airways,2019-03-15,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No info,5678
Jet Airways,2019-03-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Air India,2019-05-15,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,13039
Indigo,2019-05-18,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No info,6818
Indigo,2019-03-27,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No info,2754
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Indigo,2019-04-27,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,4823
Multiple Carriers,2019-05-21,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No info,7575
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,19:00:00,780,1.0,No info,9794
Indigo,2019-03-21,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,6426
Air India,2019-05-01,Kolkata,Banglore,17:30:00,13:45:00,1215,2.0,No info,15164
Air Asia,2019-03-15,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,5615
Indigo,2019-03-27,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3858
Air India,2019-04-24,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No info,6121
Indigo,2019-06-12,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No info,5894
Indigo,2019-05-01,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No info,3943
Indigo,2019-03-03,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,14871
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-06-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Indigo,2019-05-21,Delhi,Cochin,08:35:00,18:10:00,575,1.0,No info,6442
Vistara,2019-06-06,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,09:20:00,1655,1.0,No info,14388
Spicejet,2019-06-03,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,5583
Indigo,2019-04-27,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Air India,2019-06-06,Delhi,Cochin,05:55:00,19:15:00,800,2.0,No info,10861
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,13:20:00,560,1.0,No info,14973
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,09:30:00,775,1.0,In-flight meal not included,11087
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,20:20:00,1525,1.0,In-flight meal not included,11087
Air India,2019-06-15,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No info,10975
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No info,14571
Indigo,2019-06-24,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No info,6442
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No info,7005
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No info,14151
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,01:30:00,840,1.0,In-flight meal not included,6733
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,10:45:00,300,1.0,No info,12284
Indigo,2019-03-21,Delhi,Cochin,07:35:00,12:00:00,265,1.0,No info,5073
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No info,13067
Indigo,2019-03-12,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No info,4148
Vistara,2019-04-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,5403
Indigo,2019-03-15,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4148
Indigo,2019-06-18,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,5000
Air India,2019-03-18,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,No info,11728
Indigo,2019-03-09,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No info,11532
Spicejet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,5158
Spicejet,2019-04-27,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,4423
Air India,2019-05-18,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No info,9863
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No info,15342
Jet Airways,2019-06-12,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No info,14714
Spicejet,2019-03-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3849
